Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,ACS19_5yr_B02018001,ACS19_5yr_B02018002,ACS19_5yr_B02018003,ACS19_5yr_B02018004,ACS19_5yr_B02018005,ACS19_5yr_B02018006,ACS19_5yr_B02018007,ACS19_5yr_B02018008,ACS19_5yr_B02018009,ACS19_5yr_B02018010,ACS19_5yr_B02018011,ACS19_5yr_B02018012,ACS19_5yr_B02018013,ACS19_5yr_B02018014,ACS19_5yr_B02018015,ACS19_5yr_B02018016,ACS19_5yr_B02018017,ACS19_5yr_B02018018,ACS19_5yr_B02018019,ACS19_5yr_B02018020,ACS19_5yr_B02018021,ACS19_5yr_B02018022,ACS19_5yr_B02018023,ACS19_5yr_B02018024,ACS19_5yr_B02018001s,ACS19_5yr_B02018002s,ACS19_5yr_B02018003s,ACS19_5yr_B02018004s,ACS19_5yr_B02018005s,ACS19_5yr_B02018006s,ACS19_5yr_B02018007s,ACS19_5yr_B02018008s,ACS19_5yr_B02018009s,ACS19_5yr_B02018010s,ACS19_5yr_B02018011s,ACS19_5yr_B02018012s,ACS19_5yr_B02018013s,ACS19_5yr_B02018014s,ACS19_5yr_B02018015s,ACS19_5yr_B02018016s,ACS19_5yr_B02018017s,ACS19_5yr_B02018018s,ACS19_5yr_B02018019s,ACS19_5yr_B02018020s,ACS19_5yr_B02018021s,ACS19_5yr_B02018022s,ACS19_5yr_B02018023s,ACS19_5yr_B02018024s
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10403847,498668,152973,5147,1647,4583,4693,69602,41828,4918,2848,19282,68709,6882,905,109,4993,127,15470,924,3468,8057,62605,329,18569,1372.727,2457.576,697.5757,400.606,596.9697,524.2424,1903.03,1595.758,492.1212,493.3333,970.9091,1880,568.4849,170.9091,60,735.1515,48.48485,1268.485,321.8182,343.0303,665.4545,1900,207.8788,1093.333
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422094,977456,4907,124,100,161,837,205126,367291,43,1209,310397,52410,2686,223,251,310,7079,106,325,1052,5032,14998,47,2742,4015.152,397.5757,109.0909,96.36364,59.39394,183.6364,2783.636,3282.424,23.63636,263.0303,3001.212,1442.424,423.6364,82.42424,92.72727,98.18182,489.0909,44.24242,127.8788,190.9091,464.8485,709.697,25.45455,239.3939
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717750,42403,3163,37,185,351,210,8556,9572,106,260,8195,2640,1597,147,67,809,93,75,54,295,1220,2586,30,2155,607.2727,404.2424,34.54546,121.8182,119.3939,70.90909,609.0909,641.8182,65.45454,90.90909,601.2121,384.8485,361.8182,92.12122,35.75758,212.1212,65.45454,38.18182,46.66667,87.87878,226.0606,408.4849,29.09091,404.8485
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12770631,826769,256126,2151,303,5374,4750,150553,156660,1061,1910,34907,70958,6122,1743,3929,4203,105,41151,2078,5069,12879,37627,257,26853,1525.455,2849.091,352.1212,110.9091,620.6061,593.3333,2319.394,2689.091,310.9091,216.9697,1187.273,1349.091,489.0909,315.7576,551.5151,566.6667,76.36364,1573.333,312.7273,364.2424,701.8182,1711.515,79.39394,1225.455
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6665703,190416,44166,753,0,18654,973,39604,23132,714,873,11830,16230,1462,622,205,427,57,4711,468,1112,3553,11600,101,9169,847.2727,1463.03,221.2121,16.9697,1315.151,216.3636,1347.273,1070.909,186.6667,188.4848,742.4243,811.5151,217.5758,175.7576,85.45454,87.87878,38.78788,612.7273,187.8788,181.2121,426.6667,713.9394,52.72727,721.2121
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3139508,94983,15512,354,475,7376,1397,17073,9787,590,478,3849,8678,6161,135,164,1674,19,1465,213,447,3655,12008,0,3473,487.2727,915.7576,127.8788,214.5455,674.5455,286.0606,775.7576,622.4243,231.5152,140.6061,348.4849,576.9697,481.8182,50.30303,56.9697,332.1212,10.30303,321.8182,98.78788,103.6364,385.4546,834.5455,13.93939,379.394
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2910652,108623,21362,409,343,3607,2450,16055,11119,2192,406,6240,7974,5870,417,120,1780,53,2305,400,962,2985,17561,63,3950,633.3333,783.6364,125.4545,121.2121,516.9697,375.1515,776.3636,700,339.394,100,463.6364,513.9394,530.9091,147.8788,67.27273,270.9091,32.72727,336.3636,108.4848,191.5152,378.1818,766.0606,32.12121,401.2121
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4449052,85829,18946,145,937,3382,1778,11735,11634,303,548,7327,8759,688,163,93,3061,0,1405,200,706,2279,6916,0,4824,697.5757,875.1515,48.48485,247.2727,456.3636,325.4546,632.1212,816.9697,147.8788,136.9697,467.8788,478.7879,287.2727,49.69697,41.21212,528.4849,16.36364,286.6667,75.75758,141.2121,397.5757,513.9394,16.36364,441.2121
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4664362,100159,12193,168,0,451,982,15191,12929,103,641,4342,4989,2252,100,104,732,0,2019,288,612,1871,35814,25,4353,734.5455,815.1515,61.81818,18.18182,190.9091,211.5152,758.1818,749.0909,54.54546,164.8485,413.9394,454.5454,385.4546,56.9697,67.27273,166.6667,18.18182,314.5454,95.15151,163.0303,282.4243,1114.545,18.18182,573.9394
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335492,23442,2609,79,0,0,1906,5086,4578,0,232,1588,2098,48,25,4,194,0,397,2,64,870,2264,17,1381,283.6364,320,50.90909,14.54545,14.54545,281.8182,320,347.2727,14.54545,76.9697,151.5152,241.2121,29.69697,21.81818,5.454545,95.15151,14.54545,126.0606,1.818182,23.63636,184.8485,315.1515,16.9697,221.8182
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6018848,461043,110127,4176,543,5270,4367,96185,67747,160,2722,16885,57405,1261,932,591,7863,83,20293,3440,4874,7422,31992,214,16491,1181.212,1990.909,520.6061,240.6061,655.1515,581.2121,1648.485,1643.636,84.24242,336.9697,715.7576,1248.485,290.303,196.9697,183.0303,746.0606,36.36364,1101.818,430.303,426.6667,500.606,1506.667,65.45454,696.9697
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6850553,528934,119570,3453,671,1118,32480,183215,24945,654,2595,19012,33102,5346,1049,252,6673,73,9222,1870,5163,4609,58056,346,15460,1489.091,2218.182,513.9394,255.7576,276.3636,1215.151,2294.545,1092.727,228.4848,413.3333,824.8485,1060,560,200.6061,84.24242,649.697,53.33333,749.0909,277.5757,405.4546,404.8485,1688.485,75.15151,827.8788
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9965265,384202,121305,12102,552,4933,2202,67359,39722,7035,1499,20408,35115,4876,767,233,2694,136,13215,1366,3039,4698,21091,292,19563,853.3333,1755.758,910.9091,221.2121,646.6667,281.8182,1277.576,1298.788,555.7576,210.9091,732.1212,1133.333,498.1818,155.7576,55.75758,515.7576,38.78788,749.697,228.4848,299.394,333.3333,1020,145.4545,971.5151
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5563378,324610,52228,873,401,14242,9518,38119,21038,81784,1257,10583,24876,12774,678,97,3463,11,3114,958,1619,5119,32134,67,9657,742.4243,1376.97,175.7576,198.1818,1146.061,630.303,1083.636,923.6364,1656.97,324.2424,521.8182,882.4243,812.1212,133.9394,47.87879,507.2727,10.30303,499.394,196.9697,255.7576,526.0606,1146.061,43.63636,652.7273
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984418,39522,6903,158,0,17,456,6094,7883,15,257,2173,2541,112,135,6,386,89,627,59,180,576,9084,0,1771,743.0303,572.7273,94.54546,18.18182,18.18182,154.5455,565.4545,576.9697,11.51515,110.303,312.7273,346.6667,60.60606,94.54546,6.666667,104.2424,61.81818,203.6364,47.87879,84.84849,138.7879,648.4849,18.18182,319.394
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6104910,158641,32457,675,159,1990,1786,33079,24461,1550,530,8186,14827,1341,236,198,1992,149,3695,334,1464,3646,18746,7,7133,815.7576,1154.545,189.697,131.5152,406.0606,347.2727,1135.151,998.1818,246.6667,127.8788,540,854.5455,236.3636,69.09091,107.2727,367.8788,68.48485,373.9394,92.72727,192.7273,396.3636,1089.091,5.454545,581.2121
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050649,15042,665,6,24,0,20,2707,4518,218,166,1883,2075,105,122,105,33,11,87,39,201,661,906,4,486,287.8788,146.0606,4.848485,24.24242,14.54545,13.93939,295.7576,308.4849,116.9697,72.72727,194.5455,269.0909,58.18182,70.90909,57.57576,23.63636,8.484848,70.30303,23.0303,95.15151,175.7576,183.6364,4.848485,121.8182
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914571,60220,9322,156,595,6054,235,8107,5997,424,307,3840,5816,1355,169,23,2193,105,438,280,259,2516,8247,23,3759,364.8485,564.8485,101.2121,183.0303,518.7879,72.72727,483.0303,379.394,127.2727,76.9697,249.697,435.7576,212.1212,61.81818,15.15152,437.5757,45.45454,105.4545,140.6061,60,345.4546,540,13.93939,450.303
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2972382,323284,17846,591,85,623,2153,50941,161957,461,1672,26224,20415,2869,314,195,849,251,2013,783,1595,9006,16969,245,5227,1702.424,1161.212,190.303,55.75758,224.2424,283.0303,1234.545,2033.939,143.0303,278.1818,1098.788,1007.879,392.7273,72.12122,91.51515,248.4848,103.0303,401.2121,210.303,222.4242,579.3939,993.3333,109.0909,487.2727
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348124,47736,11167,201,804,247,1205,9435,5710,7,1177,2304,4076,964,68,42,2493,14,677,71,361,1273,3650,0,1790,293.3333,601.8182,82.42424,260,129.0909,237.5758,648.4849,421.2121,6.060606,214.5455,296.3636,361.8182,215.1515,35.75758,41.21212,384.2424,14.54545,146.0606,44.84848,105.4545,216.3636,440.606,16.36364,263.6364
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8878503,937096,389892,12904,62,1311,2321,167482,134461,58,2778,21492,104499,984,783,594,1927,95,32987,3105,7508,4135,23815,202,23701,1798.182,3671.515,939.3939,56.36364,284.8485,344.8485,2286.667,2306.667,39.39394,375.7576,956.9697,1967.879,269.697,153.9394,212.1212,372.1212,60.60606,1712.727,404.2424,467.2727,367.2727,1163.03,64.84849,1233.333
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092454,49959,6514,158,0,29,37,8437,12425,24,179,5934,3786,645,24,81,359,0,884,239,263,1615,5905,0,2421,835.7576,517.5757,110.303,16.9697,23.0303,16.36364,519.3939,699.3939,15.15152,61.81818,402.4243,384.8485,196.9697,16.9697,46.06061,114.5455,16.9697,229.0909,105.4545,103.6364,306.0606,495.1515,16.9697,349.697
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19572319,1874045,409500,81176,2166,16432,6209,739726,143894,311,6307,54341,145752,4100,4081,910,15641,113,83240,8234,16304,15708,38993,819,80088,2619.394,4118.182,2216.97,317.5757,973.3333,701.8182,3723.03,2307.273,82.42424,513.3333,1437.576,2091.515,355.7576,399.394,178.1818,1116.97,54.54546,2502.424,813.9394,750.303,808.4849,1339.394,149.0909,2033.939
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10264876,362711,105522,1429,1099,4854,6145,57061,38587,14890,1970,16520,29633,7624,430,419,6622,171,7302,943,2161,5642,37657,154,15876,1163.03,1816.364,252.7273,363.6364,683.0303,604.8485,1495.151,1163.636,827.8788,299.394,797.5757,1078.182,774.5455,101.8182,144.2424,878.1818,54.54546,635.1515,224.2424,294.5454,523.0303,1232.121,58.18182,1153.333
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756717,16232,1710,42,538,0,201,2597,4128,58,40,1134,1344,338,0,23,1416,0,201,110,30,331,1045,0,946,335.7576,278.7879,21.81818,212.7273,13.33333,106.6667,304.2424,361.2121,21.21212,40,192.7273,225.4545,141.8182,13.33333,19.39394,260.606,13.33333,123.0303,56.9697,16.9697,95.15151,192.7273,13.33333,241.8182
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11655397,333029,97612,1893,5016,2197,6775,63256,35936,725,1896,20110,24674,5198,759,201,12645,51,6270,1542,3129,5197,20698,82,17167,1147.879,1975.151,412.7273,772.1212,521.2121,693.9394,1654.545,1143.636,273.3333,355.1515,906.6667,859.3939,486.0606,136.3636,50.30303,1185.455,41.81818,578.7879,250.303,370.303,462.4243,1067.879,50.30303,997.5757
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3932870,115390,17088,848,0,3764,934,14960,13277,4524,614,7546,10538,2091,406,33,946,34,3241,176,698,2646,24147,24,6855,722.4243,760.6061,207.2727,13.93939,361.2121,181.8182,760.6061,638.7879,363.0303,158.1818,485.4546,523.0303,326.6667,86.06061,23.0303,190.9091,20.60606,443.0303,73.33334,187.8788,309.0909,953.9394,20,541.2121
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4129803,259403,29305,928,268,1834,5428,57178,41203,3352,2319,30896,25509,6227,439,172,792,266,1542,637,2099,4909,35912,122,8066,943.6364,976.9697,187.2727,171.5152,536.3636,482.4243,1547.273,1339.394,567.8788,307.2727,1110.909,1082.424,658.1818,115.1515,66.66666,229.0909,77.57576,336.9697,143.6364,258.7879,485.4546,1335.758,62.42424,616.9697
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12791530,525616,149356,5504,3287,2370,15364,126164,43908,483,4136,15532,48603,4154,1041,554,10112,114,13900,1365,3775,4936,49871,210,20877,1321.818,1936.364,527.8788,531.5151,443.0303,915.1515,2378.788,1208.485,144.8485,531.5151,665.4545,1289.697,436.3636,249.697,186.0606,929.0909,56.9697,1013.333,217.5758,398.7879,347.2727,1697.576,61.21212,1113.333
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057231,46218,9019,87,98,350,7558,9778,4204,1202,477,2041,2304,2337,52,18,253,0,691,54,694,1037,2349,0,1615,608.4849,602.4243,45.45454,96.36364,193.3333,792.7273,635.1515,384.2424,296.3636,271.5151,261.8182,281.8182,343.6364,26.06061,15.75758,138.1818,18.18182,201.8182,32.12121,205.4545,238.1818,483.0303,18.18182,272.7273
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5020806,106114,21290,156,139,1252,2394,19358,21569,1722,252,5778,8604,2206,44,60,158,30,1241,94,589,3246,11139,70,4723,823.0303,1011.515,71.51515,127.2727,401.8182,400.606,935.7576,1037.576,282.4243,72.12122,446.0606,577.5757,315.1515,24.84848,45.45454,83.0303,23.0303,285.4546,56.36364,132.1212,433.3333,786.0606,63.63636,532.7273
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870638,16657,2165,51,352,1623,121,2133,2632,42,58,902,1774,683,15,46,831,0,332,5,1,880,1277,0,734,290.9091,252.7273,35.75758,121.8182,208.4848,66.06061,272.7273,256.3636,31.51515,35.15152,147.2727,242.4242,140,9.69697,27.27273,203.0303,13.93939,131.5152,6.060606,1.818182,241.2121,183.0303,13.93939,172.1212
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6709356,151880,33452,499,240,2974,2144,24050,19868,637,965,9583,16113,7874,531,184,2004,170,2708,386,1269,3521,14423,39,8246,900.6061,1180,118.7879,119.3939,515.7576,399.394,1149.091,823.6364,165.4545,215.1515,644.2424,802.4243,597.5757,175.7576,125.4545,474.5454,84.24242,554.5455,184.8485,230.303,452.1212,856.3636,24.84848,681.2121
